BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,GREAT EASTERN,," Diamond Park, D.No- 47-7-17 Dwaraka Nagar, Visakhapatnam Pin 530016 Andhra Pradesh",,ANDHRA PRADESH,DIAMOND PARK,,,,,,,,http://www.greateastern.co.in/ap-store.html,,,,,,,,,
,TV,Consumer Electronics,,GREAT EASTERN,, D.N. 11-57 & 11-58 Opp. Simhachalam Railway Station Visakhapatnam Pin 530026 Andhra Pradesh,,ANDHRA PRADESH,GOPALAPATNAM,,,,,,,,http://www.greateastern.co.in/ap-store.html,,,,,,,,,
,TV,Consumer Electronics,,GREAT EASTERN,," D.No.-10-1-126, Main Road Old Gajuwaka, Visakhapatnam Pin 530026 Andhra Pradesh",,ANDHRA PRADESH,GAJUWAKA,,,,,,,,http://www.greateastern.co.in/ap-store.html,,,,,,,,,
,TV,Consumer Electronics,,GREAT EASTERN,," Hanuman Saudha, 59A-4-6 Postal Colony, Gurunanak Road Vijayawada Pincode: 520008",,ANDHRA PRADESH,GURUNANAK ROAD,,,,,,,,http://www.greateastern.co.in/ap-store.html,,,,,,,,,
,TV,Consumer Electronics,,GREAT EASTERN,," Quantam Square Building 59A-15-A1&2, Bhadraiah Nagar, Patamata Vijaywada - 500010",,ANDHRA PRADESH,QUANTAM SQUARE,,,,,,,,http://www.greateastern.co.in/ap-store.html,,,,,,,,,
,TV,Consumer Electronics,,GREAT EASTERN,," 4-15-60/12 Bharatpet 6th Lane Amaravathi Road, Guntur – 522007 Andhra Pradesh",,ANDHRA PRADESH,GUNTUR,,,,,,,,http://www.greateastern.co.in/ap-store.html,,,,,,,,,
,TV,Consumer Electronics,,GREAT EASTERN,," Orchid Pathak, C-212, Kurshi Road Vikas Nagar, Sector N, Aliganj Lucknow, Pin- 226024",,UTTAR PRADESH,VIKAS NAGAR,,,,,,,,http://www.greateastern.co.in/up-store.html,,,,,,,,,
,TV,Consumer Electronics,,GREAT EASTERN,," A-22, Indra Nagar Lucknow, Pin 226016",,UTTAR PRADESH,INDRA NAGAR,,,,,,,,http://www.greateastern.co.in/up-store.html,,,,,,,,,
,TV,Consumer Electronics,,GREAT EASTERN,," Royal Delite Plaza, Ramnagar Alambagh, Lucknow Pin 226005",,UTTAR PRADESH,ALAMBAGH,,,,,,,,http://www.greateastern.co.in/up-store.html,,,,,,,,,
,TV,Consumer Electronics,,GREAT EASTERN,, 13/13 Telia Bagh Varanasi - 221002,,UTTAR PRADESH,VARANASI,,,,,,,,http://www.greateastern.co.in/up-store.html,,,,,,,,,
